job titles,locations
Mechanical Engineer in Egypt - „Â‰œ” „Ìﬂ«‰Ìﬂ« ··⁄„· ›Ì „’—,"Cairo, Egypt "
,
Electrical Engineer in Egypt- „Â‰œ” ﬂÂ—»«¡ ··⁄„· ›Ì „’—,"Cairo, Egypt "
,
Senior Tender Engineer,"Heliopolis, Cairo, Egypt "
,
Architecture Technical Office Engineer,"10th of Ramadan City, Sharqia, Egypt "
,
Quantity Surveying Engineer,"New Cairo, Cairo, Egypt "
,
Tendering Engineer,"Sheikh Zayed, Giza, Egypt "
,
Senior Cost Control Engineer,"Heliopolis, Cairo, Egypt "
,
Quantity Survey Engineer,"Dokki, Giza, Egypt "
,
Technical Architect Engineer,"Sheraton, Cairo, Egypt "
,
Structural Technical Office Engineer,"Mohandessin, Giza, Egypt "
,
Junior Quantity Takeoff Engineer,"Maadi, Cairo, Egypt "
,
Finishing Engineer - Construction,"Sheikh Zayed, Giza, Egypt "
,
Planning Engineer,"Obour City, Cairo, Egypt "
,
Contract Engineer,"Nasr City, Cairo, Egypt "
,
Structural Design Engineer,"Nasr City, Cairo, Egypt "
,
Sales Engineer (Construction Chemicals) - El Delta,"Downtown, Kafr Alsheikh, Egypt "
,
Sales Engineer - Construction / Chemicals,"New Cairo, Cairo, Egypt "
,
Technical Office Engineer - Suez,"Suez, Suez, Egypt "
,
Project Engineer,"6th of October, Giza, Egypt "
,
Architect Site Engineer,"6th of October, Giza, Egypt "
,
Site Engineer,"6th of October, Giza, Egypt "
,
Construction Engineer - Solar Energy / Mechanical Construction,"Cairo, Egypt "
,
Technical Office Civil Engineer,"New Capital, Cairo, Egypt "
,
Civil Technical Office Engineer,"New Cairo, Cairo, Egypt "
,
Director of Engineering,"Zamalek, Cairo, Egypt "
,
Junior Procurement Engineer,"Cairo, Egypt "
,
Business Development Engineer,"10th of Ramadan City, Sharqia, Egypt "
,
"Planning, &Cost Control Engineer","Cairo, Egypt "
,
Planning Engineer,"Cairo, Egypt "
,
Site Engineer,"Heliopolis, Cairo, Egypt "
,
Senior/Team leader Contracts Engineer,"Cairo, Egypt "
,
Survey Engineer,"Cairo, Egypt "
,
Projects Sales Manager - Engineer,"Nasr City, Cairo, Egypt "
,
Space Planning Engineer,"6th of October, Giza, Egypt "
,
Lead Structural Engineer,"Cairo, Egypt "
,
Senior Sales Engineer,"Heliopolis, Cairo, Egypt "
,
Planning Engineer,"Sheikh Zayed, Giza, Egypt "
,
Planning Engineer,"Heliopolis, Cairo, Egypt "
,
Scheduling & Planning Engineer,"Asafra, Alexandria, Egypt "
,
Project Manager,"New Cairo, Cairo, Egypt "
,
Planning Engineer,"Maadi, Cairo, Egypt "
,
Architect Site Engineer,"New Cairo, Cairo, Egypt "
,
Projects Sales Support Engineer,"Heliopolis, Cairo, Egypt "
,
Technical Office Manager (Bridges),"Helwan, Cairo, Egypt "
,
Project Manager,"Mohandessin, Giza, Egypt "
